Arizona,3452
Arkansas,3908
California,10007
Colorado,4628
Connecticut,1239
Delaware,360
Florida,41847
Georgia,54238
Idaho,627
Illinois,5525
Indiana,4732
Iowa,890
Kentucky,6699
Louisiana,8820
Maine,442
Maryland,3457
Massachusetts,1934
Michigan,5781
Minnesota,1264
Mississippi,18791
Missouri,4831
Montana,480
Nebraska,927
Nevada,1368
New Hampshire,333
New Jersey,3094
New Mexico,1022
New York,4060
North Carolina,12009
North Dakota,179
Ohio,7752
Oklahoma,2590
Oregon,1122
Pennsylvania,3692
Rhode Island,258
South Carolina,8042
South Dakota,151
Tennessee,27801
Texas,19717
Utah,1085
Vermont,237
Virginia,10059
Washington,3094
West Virginia,835
Wisconsin,1478
Wyoming,517
